Kecamatan,Kabupaten,Nama objek,Nomor Lokasi Keterdapatan,Komoditi,Kode Unsur,Kelompok Mineral Logam,Lokasi Keterdapatan,Provinsi,Status Penyelidikan Mineral Logam,Bijih Terbukti (Ton),Logam Terbukti (Ton),keteragan,acuan,objectid,longitude,latitude,Jenis Izin,Lokasi Tambang,Luas Wilayah,Tanggal Berakhir SK,Tanggal Berlaku SK,Mine_port(meter),Mine_road(meter),Mine_Smelter(meter),Produksi Tahunan (ton),Target Produksi Harian (ton),Produksi Aktual Harian (ton),Pencapaian (%),Jumlah Ekskavator,Jumlah Truk Tambang,Ketersediaan Fisik (PA) %,Penggunaan Ketersediaan (UA) %,Jam Downtime,Konsumsi BBM (Liter),Biaya Penambangan per Ton (Rp),Biaya Pengangkutan per Ton (Rp),Biaya Penanganan Pelabuhan per Ton (Rp),Biaya Pemrosesan Smelter per Ton (Rp),AISC per Ton (Rp),CAPEX / OPEX,TRIFR,LTIFR,Jumlah Insiden,Indikator Fatalitas,Harga Nikel Historis (Rp/Ton),Nilai Tukar (Rp/USD),Pembeli / Offtaker,Jenis Kontrak
Bunta,Banggai,Nikel Donda,2.544.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Donda,Sulawesi Tengah,Operasi Produksi,0,0,"Laterit wmt, kadar Ni 1,4%","PT Gemilang Mandiri Perkasa, Laporan RKAB Tahun 2020",1566,122.2857,-0.9263,IUP,Kec. Bunta dan Nuhon Keb. Banggai,4677,"Februari 22, 2035","September 2, 2015",44016.313,968.527,155336.793,1637131,1975,1915,96.96,25,37,93.81,86.32,22,8940,377141,102854,72136,796323,1348454,OPEX,1.41,0.43,0,Tidak,251246565,16044,PT Vale Indonesia,Spot Contract
Lembo,Morowali Utara,Nikel Molino 1,1.370.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Molino 1,Sulawesi Tengah,Operasi Produksi,0,0,"Blok 3A, Block 3B, Block 11A, Block 11B, Block 11C, Block 2, Block 4, Block 9, Block 10, Block 11 D","PT Genba Multi Mineral, Laporan RKAB Tahun 2020 (Tabulasi Ditjen Minerba)",1390,121.385,-2.162,IUP,"Desa Molino dan Bimor Jaya Kec. Petasia, Kab. Morowali",3744,"Desember 8, 2029","Januari 19, 2016",19170.417,537.985,25307.264,1550784,2638,2527,95.79,10,47,94.44,87.21,32.8,24167,259588,116815,31764,540479,948646,CAPEX,0.35,0.08,0,Tidak,347259975,15848,PT Aneka Tambang,FOB Motorship
Bahodopi,Morowali,Nikel Tangofa,1.378.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Tangofa,Sulawesi Tengah,Operasi Produksi,4950000,64150.8,"Bete-Bete/PIT 1-6, West Bete-Bete, Central, Central 2/Pit 21, APL/PIT A-C","PT Hengjaya Mineralindo, Laporan RKAB Tahun 2022",1398,122.1686,-2.9391,IUP,"Desa Padabaho, Bete-Bete, Pu'ungkeu, Tangofa, Kec. Bahodopi & Bungku Selatan",5983,"Mei 26, 2031","Juli 10, 2020",14536.295,3300.312,11876.026,1031788,3671,3656,99.59,18,42,92.37,73.35,6.8,9800,243184,133283,52319,771410,1200196,CAPEX,2.34,0.29,1,Tidak,293403561,15930,PT IMIP,FOB Motorship
Petasia,Morowali Utara,Nikel Ungkaya,1.372.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Ungkaya,Sulawesi Tengah,Eksplorasi,0,0,"Blok Kolonedale West, Central dan East","PT Hoffmen International, Laporan RKAB Tahun 2020",1392,121.318,-1.879,IUP,"Desa Ganda-Ganda, Kec. Petasi",585,"Maret 24, 2031","Desember 3, 2020",,,,601880,2694,2532,93.99,19,54,94.86,70.15,25.8,11186,309530,72485,70048,417965,870028,OPEX,0.48,0.14,0,Tidak,329744661,15662,PT IWIP,CIF
Petasia,Morowali Utara,Nikel Torete,1.375.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Torete,Sulawesi Tengah,Operasi Produksi,0,0,-,"PT Indoberkah Jaya Mandiri, Laporan RKAB Tahun 2021",1395,121.317,-1.946,IUP,"Desa Torete, Kec. Bungku pesisir, Morowali",196,"Oktober 10, 2034","November 21, 2014",4050.242,509.154,662.173,1956047,1845,1699,92.09,19,35,97.78,76.72,28.5,24254,306258,80320,77648,601687,1065913,OPEX,0.66,0.37,2,Tidak,320768090,16015,PT IWIP,FOB Motorship
Bahodopi,Morowali,Nikel Padabaho,2.571.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Padabaho,Sulawesi Tengah,Operasi Produksi,0,0,"Blok A, Blok B","PT Indoberkah Jaya Mandiri, Laporan Studi Kelayakan Tahun 2020",1593,122.182,-2.91,IUP,"Desa Torete, Kec. Bungku pesisir, Morowali",196,"Oktober 10, 2034","November 21, 2014",11474.393,1650.431,8791.144,1168531,4130,4013,97.17,28,45,90.45,85.95,14.6,15794,281906,143867,42570,719539,1187882,CAPEX,1.96,0.12,1,Tidak,264177511,15609,PT Vale Indonesia,FOB Motorship
Petasia,Morowali Utara,Nikel Lambolo 1,2.572.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Lambolo 1,Sulawesi Tengah,Operasi Produksi,808974,9.479.223.950,"Blok C1, C2, D, E","PT Itamatra Nusantara, Laporan RKAB Tahun 2021",1594,121.292,-1.937,IUP,"Desa lambolo, Kec. Petasia, Kab.Morowali",974,"Maret 15, 2032","Maret 16, 2012",6981.391,1254.49,3343.002,1839681,4156,4000,96.25,13,50,91.69,86.78,11.3,9556,355853,93980,62539,612729,1125101,OPEX,0.42,0.34,1,Tidak,330134893,15996,PT Vale Indonesia,FOB Motorship
Petasia Timur,Morowali Utara,Nikel Bungintibe,2.807.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Bungintibe,Sulawesi Tengah,Operasi Produksi,10052605,116.072.403.300,"5 blok, kadar Ni 1,01% s.d. 1,74%","PT Keinz Ventura, Laporan RKAB Tahun 2020",1625,121.414,-2.0949,IUP,"Desa Tompira, Bungintimbe, Towara dan Molino, Kec. Petasia, Kab. Morowali",1205,"Oktober 22, 2032","Juli 14, 2022",11213.325,1181.302,19767.894,1516878,1887,1764,93.48,16,68,85.16,72.77,13.5,4112,359809,74157,39484,773324,1246774,CAPEX,2.27,0.13,1,Tidak,305030378,15516,PT IMIP,Spot Contract
Petasia,Morowali,Nikel Blok A,2.944.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok A,Sulawesi Tengah,Operasi Produksi,280000,3194.8,Blok A,"PT Maghantara Multimedia Nusaphala, Laporan RKAB Tahun 2022",1664,122.099,-2.944,IUP,Labota dan Padabao,2318,"November 29, 2031","November 29, 2011",16748.465,7584.562,14613.845,1667575,2553,2438,95.5,13,57,95.35,85.49,20.5,13029,249139,148562,35794,525832,959327,OPEX,1.87,0.26,1,Tidak,310430730,15511,PT GNI,Spot Contract
Bungku Selatan,Morowali,Nikel Buleleng 1,2.808.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Buleleng 1,Sulawesi Tengah,Operasi Produksi,9166519,962.484.495,"Blok Utara dan Blok Selatan, kadar Ni 1,6% dan 2,6%","PT Mahligai Artha Sejahtera, Laporan RKAB Tahun 2022",1626,122.2345,-3.038,IUP,Kecamatan Bungku Pesisir,514,"Juni 22, 2031","September 24, 2011",26622.013,220.772,4190.099,1639849,2399,2291,95.5,14,65,91.76,72.31,9.4,24706,359105,94897,47651,413333,914986,OPEX,0.36,0.47,1,Tidak,270031596,15543,PT Aneka Tambang,CIF
Witaponfa,Morowali,Nikel Ungkaya 1,2.809.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Ungkaya 1,Sulawesi Tengah,Operasi Produksi,1086268,129.265.892,"Kadar Ni 1,53% s.d. 1,71%","PT Mitra Agung Karya Lestari, Laporan RKAB Tahun 2020",1627,121.5475,-2.2587,IUP,"Desa Ungkaya, Kec. Witaponda, Morowali",743,"Oktober 31, 2031","Oktober 31, 2016",31148.824,2083.831,39265.06,791958,4103,3894,94.91,28,47,90.3,77.8,47.6,13082,246149,148504,74254,709575,1178482,OPEX,1.79,0.19,2,Tidak,334687420,15935,PT Vale Indonesia,FOB Motorship
Petasia,Morowali Utara,Nikel Lambolo,1.373.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Lambolo,Sulawesi Tengah,Operasi Produksi,3474174,4.196.266.004,"Pit 2A1-2A5, 2B, 2C1, 2C2, 3A11, 3A12, 3A21, 3A22, 3A3","PT Mulia Pasific Resources, Laporan RKAB Tahun 2022",1393,121.316,-1.983,IUP,"Desa Lambolo, Ganda-ganda dan Kolonodale, Marle dan Korolama Kec. Petasia, Kab. Morowali",4780,"April 20, 2031","April 28, 2011",2934.728,1817.04,4554.3,1045859,4394,4205,95.7,28,50,86.22,89.97,23.2,18690,281526,141931,64473,427201,915131,OPEX,1.65,0.44,1,Tidak,343166697,15641,PT Vale Indonesia,Spot Contract
Ampana Kota,Tojo Una-Una,Nikel Rapalemba,2.856.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Rapalemba,Sulawesi Tengah,Operasi Produksi,9235772,1.228.357.676,"Blok B kadar Ni 1,9%","PT Multi Dinar Karya, Laporan RKAB Tahun 2021",1653,122.184,-0.9889,IUP,"Rapalemba, Uebae, Pusungi dan Marowo Kec. Ampana Kota, Ampana Tete dan Kec. Ulubongka Kab. Tojo Una-Una",10800,"Mei 24, 2031","Mei 24, 2011",57051.195,211.845,142554.151,1200081,4380,4393,100.3,10,49,96.57,73.85,41.4,9313,205436,140610,54463,705902,1106411,OPEX,1.94,0.49,1,Tidak,290650220,15748,PT GNI,Spot Contract
Bungku Pesisir,Morowali,Nikel Matarape,1.376.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Matarape,Sulawesi Tengah,Operasi Produksi,0,0,"Blok 4 dan Blok 5 (LGL, HGL, LGS, HGS)","PT Nusajaya Persadatama Mandiri, Laporan RKAB Tahun 2020",1396,122.275,-3.131,IUP,Menui Kepulauan,1825,"Juni 23, 2035","Juni 23, 2024",37794.129,1554.464,9091.578,1246687,5248,4957,94.46,22,66,90.14,73.08,48.8,20287,268078,108183,44140,693366,1113767,OPEX,2.1,0.44,1,Tidak,259247734,15759,PT IMIP,Spot Contract
Bahodopi,Morowali,Nikel Sumbatu,2.575.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Sumbatu,Sulawesi Tengah,Operasi Produksi,21974228,310.321.939.340,12 blok,"PT Oti Eya Abadi, Laporan RKAB Tahun 2020",1597,121.994,-2.82,IUP,"Desa Lele, Dampala dan Siumbatu Kecamatan Bahodopi Kabupaten Morowali Provinsi Sulawesi Tengah",3339.23,"Mei 15, 2038","Mei 15, 2018",19028.15,5557.38,9793.034,565705,4551,4744,104.24,14,68,93.87,78.46,8.6,20291,391703,129844,37081,737708,1296336,OPEX,1.85,0.08,0,Tidak,334877208,15934,PT Aneka Tambang,Spot Contract
Bungku Selatan,Morowali,Nikel Laro Enai,1.920.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Laro Enai,Sulawesi Tengah,Operasi Produksi,566400,9855.36,"Blok BCL A, BCL B, Kartini B, Tiara","PT PAM Mineral, Prospektus Penawaran Saham Perdana Tahun 2020",1452,122.245,-3.042,IUP,"Desa Buleleng dan laro'enai, Kec. bungku Pesisir, kab. Morowali, Provinsi Sulawesi Tengah",198,"April 15, 2035","November 17, 2024",27403.185,64.574,2946.288,1319854,2714,2816,103.76,13,68,86.94,82.39,34.3,16774,288512,146055,43538,591570,1069675,CAPEX,1.55,0.41,2,Tidak,338739258,15691,PT Vale Indonesia,Spot Contract
Pagimana,Banggai,Nikel Siuna,1.367.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Siuna,Sulawesi Tengah,Operasi Produksi,0,0,"Blok 1,2,3,4","PT Penta Dharma Karsa, Laporan RKAB Tahun 2019 (Tabulasi Dinas ESDM Provinsi)",1387,122.99,-0.735,IUP,"Desa Siuna, Kec Pagimana, Kab. Banggai",1220,"Agustus 19, 2026","Agustus 19, 2016",32172.685,640.858,228675.522,731434,1841,1790,97.23,15,61,97.5,88.66,44.2,20208,342003,76913,37634,758201,1214751,OPEX,0.94,0.02,1,Tidak,300647331,15503,PT Aneka Tambang,Spot Contract
Pagimana,Banggai,Nikel Siuna 2,2.810.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Siuna 2,Sulawesi Tengah,Operasi Produksi,4440000,54390,"4 blok, logam ikutan bijih nikel laterit, kadar Fe %","PT Prima Dharma Karsa, Laporan RKAB Tahun 2020",1628,122.9913,-0.7334,IUP,"Desa Siuna, Kec. Pagimana, Kab. Banggai",938,"Agustus 19, 2026","Agustus 19, 2016",32399.822,815.646,228896.312,1615063,3920,3721,94.92,13,52,87.32,89.62,33.5,16155,221585,53774,39354,467932,782645,OPEX,1.8,0.2,2,Tidak,307914874,15712,PT IMIP,FOB Motorship
Bungku Selatan,Morowali,Nikel Torette 2,2.811.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Torette 2,Sulawesi Tengah,Operasi Produksi,9004800,110992.84,"Kadar Ni 1,1% s.d. 1,7%","PT Raihan Caturputra, Laporan RKAB Tahun 2020",1629,122.2037,-2.9681,IUP,"Desa Torete, Kecamatan Buku Pesisir, Kabupaten Morowali, Sulawesi Tengah",688,"Desember 13, 2035","Desember 13, 2013",18258.875,1229.864,11624.89,1524573,5155,5054,98.04,19,53,87.59,71.39,24.3,11944,327112,82085,64376,573739,1047312,OPEX,2.4,0.44,2,Tidak,272303612,15658,PT GNI,CIF
Lembo,Morowali Utara,Nikel Korowou,2.573.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Korowou,Sulawesi Tengah,Operasi Produksi,2271413,27.506.811.430,"Blok 1, Blok 2","PT Sarana Mineralindo Perkasa, Laporan RKAB Tahun 2019 (Tabulasi Dinas ESDM Provinsi)",1595,121.365,-2.14,IUP,"Desa Korowou, Molindo dan Bimor Jaya Kec. Petasia",4656,"November 12, 2032","Agustus 9, 2017",17946.518,1730.942,22398.447,1883791,5398,5545,102.72,29,69,96.17,72.76,24.4,19495,274315,113689,36634,448733,873371,OPEX,1.55,0.34,2,Tidak,256747320,15901,PT IMIP,FOB Motorship
Toili Barat,Banggai,Nikel Sumber Agung 1,2.580.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Sumber Agung 1,Sulawesi Tengah,Operasi Produksi,0,0,"Laterit wmt, kadar Ni 1,2%","PT Sinar Makmur Cemerlang, Laporan Revisi RKAB Tahun 2020",1602,122.223,-1.353,IUP,"Kec. Batui, Banggai",3099,"Mei 14, 2035","September 2, 2015",41809.218,3323.626,119603.847,1617143,2343,2338,99.79,21,44,96.86,85.81,6.6,21537,348798,104728,32368,706750,1192644,OPEX,1.73,0.27,2,Tidak,344414564,15913,PT GNI,Spot Contract
Petasia Timur,Morowali Utara,Nikel Bimor Jaya,1.947.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Bimor Jaya,Sulawesi Tengah,Eksplorasi,19387306.09,278.207.842.391,"Kadar Fe 21,01%","PT Sinosteel Indonesia Mining, Laporan RKAB Tahun 2020 (Tabulasi Ditjen Minerba)",1479,121.467,-2.124,IUP,Kec. Kembo raya dan Petasia,2038.7,"Desember 30, 2041","Desember 30, 2021",,,,1049963,2369,2418,102.07,24,47,87.76,75.41,29.1,21662,385603,58058,57117,685708,1186486,CAPEX,1.21,0.19,2,Tidak,298295758,15550,PT IWIP,CIF
Petasia Timur,Morowali Utara,Nikel Molino 2,2.579.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Molino 2,Sulawesi Tengah,Operasi Produksi,76832,1.229.312,"Blok 1, Blok 2, Blok 3","PT Sumber Permata Selaras, Laporan RKAB Tahun 2019 (Tabulasi Dinas ESDM Provinsi)",1601,121.473,-2.139,IUP,Desa ganda-ganda Kec. Petasia,424,"September 22, 2030","September 22, 2020",22098.642,399.361,27518.094,1951264,1553,1522,98,19,66,91.11,87.7,49.7,8474,306322,106077,44329,722559,1179287,CAPEX,1.94,0.41,1,Tidak,277497087,15936,PT GNI,Spot Contract
Petasia dan Soyojaya,Morowali Utara,Nikel Towi,2.812.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Towi,Sulawesi Tengah,Operasi Produksi,38522466,456.105.961.234,"Blok GGU dan Blok GGS, saprolit dan limonit","PT Sumber Swarma Pratama, Laporan RKAB Tahun 2022",1630,121.2566,-1.9004,IUP,Desa Ganda-Ganda dan Towi Kec. Petasia dan Soyo Jaya,2641,"Juli 11, 2031","September 19, 2019",12432.307,1658.403,8582.615,1116275,1979,1969,99.49,10,48,94.54,83.27,48.1,18208,220565,67439,52736,705737,1046477,CAPEX,2.49,0.35,2,Tidak,319323256,15538,PT Vale Indonesia,FOB Motorship
Bungku Selatan,Morowali,Nikel Torette 1,2.577.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Torette 1,Sulawesi Tengah,Operasi Produksi,3300000,39270,"Kadar Ni 1,1% - 1,7%","PT Teknik Alum Service, Laporan RKAB Tahun 2020",1599,122.214,-2.994,IUP,"Desa Buleleng dan Torete, Kec. Bungku Selatan, Kab. Morowali",1301,"Mei 6, 2029","Juni 19, 2012",21336.344,897.175,8743.135,988738,3674,3465,94.31,11,43,96.42,72.24,6.8,4090,295226,100550,36989,523383,956148,OPEX,0.57,0.23,0,Tidak,252620148,15840,PT GNI,Spot Contract
Bungku Selatan,Morowali,Nikel Buleleng,2.578.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Buleleng,Sulawesi Tengah,Operasi Produksi,0,0,"Kadar Ni 1,4% dan 1,7%","PT Teknik Alum Service, Laporan RKAB Tahun 2020",1600,122.232,-3.023,IUP,"Desa Buleleng dan Torete, Kec. Bungku Selatan, Kab. Morowali",1301,"Mei 6, 2029","Juni 19, 2012",23904.341,305.047,5158.916,1858303,3641,3678,101.02,15,54,89.93,86.65,36.8,16011,224621,107570,40498,427226,799915,OPEX,0.67,0.45,2,Tidak,257994002,15714,PT Vale Indonesia,CIF
Bungku Selatan,Morowali,Nikel One Ete,1.379.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,One Ete,Sulawesi Tengah,Operasi Produksi,15557815,22.325.464.525,Blok Utara (A) dan Blok Selatan (B),"PT Total Prima Indonesia, Laporan RKAB Tahun 2019 (Tabulasi Dinas ESDM Provinsi)",1399,122.303,-2.941,IUP,"Desa Tangofa Kec. Bungku Selatan, Kab. Morowali",1142,"Mei 20, 2031","Mei 23, 2011",20528.092,753.785,12463.109,1055689,2920,2717,93.05,14,46,91.72,73.53,18.6,15994,289906,113667,52053,771696,1227322,CAPEX,1.44,0.11,0,Tidak,274267404,15665,PT IMIP,Spot Contract
Bungku Timur,Morowali,Nikel Bahodopi Block 1,271.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Bahodopi Block 1,Sulawesi Tengah,Eksplorasi,2400000,218400,Bijih kering,"PT Vale, Laporan RKAB Tahun 2020 (Tabulasi Ditjen Minerba)",1291,121.881,-2.691,IUPK,Blok Bahodopi. Kab. Morowali dan Kab. Luwu Timur,22699,"Desember 28, 2035","Mei 3, 2024",,,,614514,2670,2681,100.41,26,66,94.64,78.47,45.6,11633,212229,91255,64501,597127,965112,CAPEX,1.31,0.09,2,Tidak,295064906,15765,PT IWIP,FOB Motorship
Bungku Timur,Morowali,"Nikel Bahodopi Block 2,3 & 4",272.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,"Bahodopi Block 2,3 & 4",Sulawesi Tengah,Eksplorasi,0,0,-,"PT Vale, Laporan RKAB Tahun 2020 (Tabulasi Ditjen Minerba)",1292,121.91,-2.694,IUPK,Blok Bahodopi. Kab. Morowali dan Kab. Luwu Timur,22699,"Desember 28, 2035","Mei 3, 2024",,,,1204333,4802,4942,102.92,26,66,94.5,81.04,7,24875,328087,90832,50717,437736,907372,OPEX,1.51,0.32,0,Tidak,286668756,15670,PT Vale Indonesia,FOB Motorship
Bungku Pesisir,Morowali,Nikel Sambalagi 1,2.854.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Sambalagi 1,Sulawesi Tengah,Operasi Produksi,6680000,84168,"Blok A dan Blok B, kadar Ni 1,4% - 2%","PT Wosindo Perkasa, Laporan RKAB Tahun 2021",1651,122.273,-3.1301,IUP,Kecamatan Sambalagi Kabupaten Morowali,477,"September 24, 2031","September 24, 2021",37586.183,1626.119,8982.856,1693519,3286,3023,92,27,45,95.18,80.02,47.1,22542,262090,117857,57085,770825,1207857,OPEX,0.31,0.49,1,Tidak,268734700,15936,PT Vale Indonesia,FOB Motorship
Molawe,Konawe Utara,Nikel Tapunggaya,2.145.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Tapunggaya,Sulawesi Tenggara,Operasi Produksi,2453860,26.496.753.675,"4 blok laterit, kadar Ni 1,1% s.d. 1,7%","CV Unaaha Bakti Persada, Laporan RKAB Tahun 2022",1494,122.235,-3.392,IUP,Langgikima,159,"Desember 15, 2031","Desember 15, 2011",65035.127,200.986,38145.008,784207,4713,4676,99.21,22,53,92.41,83.72,42.7,4811,240306,124917,56093,797707,1219023,OPEX,1.13,0.12,0,Tidak,285134968,16031,PT Aneka Tambang,FOB Motorship
Langgikima,Konawe Utara,Nikel Lameluru,1.188.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Lameluru,Sulawesi Tenggara,Operasi Produksi,0,0,"Kadar Ni 1,5 - 2,0%","Laporan PT Bhumi Swadatya Mineral, 2012",1377,122.3,-3.281,IUP,Desa Lameruru Kec. Langgikima Kab. Konawe Utara,317,"Desember 22, 2029","Desember 22, 2009",54397.377,88.7,25872.279,1194410,5349,4890,91.42,21,69,86.36,83.05,10.3,8385,203460,130774,43443,578199,955876,CAPEX,1.54,0.12,0,Tidak,283391151,15948,PT Aneka Tambang,Spot Contract
Pomalaa,Kolaka,Nikel Pesohua,1.389.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Pesohua,Sulawesi Tenggara,Operasi Produksi,1011059,120.316.021,"Kadar Ni 1,4% - 1,9%","PD Aneka Usaha Kolaka, Laporan RKAB Tahun 2020",1407,121.6393,-4.2036,IUP,Pomalaa,340,"April 1, 2028","April 2, 2018",5553.2,835.385,4747.146,694882,2700,2724,100.89,22,60,96.75,89.84,7.7,8367,377611,83354,43981,708036,1212982,CAPEX,1.55,0.07,2,Tidak,302466750,15741,PT IMIP,CIF
Langgikima,Konawe Utara,Nikel Blok B Lameluru,2.789.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok B Lameluru,Sulawesi Tenggara,Operasi Produksi,2098567,26.225.801.840,"3 blok, kadar Ni 1,74% s.d. 1,86%","PT Adhi Kartiko Pratama, Laporan RKAB Tahun 2020",1607,122.2801,-3.2635,IUP,"Kec. Langgikima, Kab. Konut",1975,"Desember 13, 2030","Desember 14, 2010",52041.612,919.588,23753.444,1529717,2231,2036,91.26,18,42,96.25,89.99,42.6,22848,367439,92407,51286,414519,925651,CAPEX,1.71,0.43,2,Tidak,306274155,15776,PT GNI,Spot Contract
Langgikima,Konawe Utara,Nikel Blok A Lameruru,1.935.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok A Lameruru,Sulawesi Tenggara,Operasi Produksi,0,0,Blok A1 - A3,"PT Adhi Kartiko Pratama, Laporan RKAB Tahun 2022",1467,122.261,-3.263,IUP,"Kec. Langgikima, Kab. Konut",1975,"Desember 13, 2030","Desember 14, 2010",51471.428,1403.219,23698.708,1213557,5306,5520,104.03,23,55,95.38,80.33,12,14897,362350,83067,31602,437308,914327,CAPEX,1.86,0.11,0,Tidak,338312688,15745,PT Vale Indonesia,Spot Contract
Pomalaa,Kolaka,Nikel Hakatutobu,1.925.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Hakatutobu,Sulawesi Tenggara,Eksplorasi,6705747,657.163.206,"Kadar Ni 1% s.d. 1,8%","PT Akar Mas Internasional, Laporan RKAB Tahun 2019 (Tabulasi Dinas ESDM Provinsi)",1457,121.592,-4.251,IUP,Pomalaa,225,"September 7, 2029","September 7, 2009",,,,995294,4002,3684,92.05,25,56,86.3,71.9,29.1,19306,211627,102754,64269,510626,889276,OPEX,1.68,0.25,0,Tidak,330677854,15936,PT IMIP,CIF
Tolala,Kolaka Utara,Nikel Tolala 1,2.565.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Tolala 1,Sulawesi Tenggara,Operasi Produksi,0,0,"Kadar Ni 0,9% s.d. 1,5%","PT Alam Mitra Indah Nugraha, Laporan RKAB Tahun 2022",1587,121.107,-2.891,IUP,Kec.Tolala,221,"Januari 12, 2027","Januari 12, 2012",17370.486,2270.843,46550.205,840364,2592,2706,104.4,25,57,87.66,84.56,46.2,21008,269912,62722,60719,662491,1055844,CAPEX,2.02,0.5,2,Tidak,279233822,15803,PT GNI,CIF
Kabaena Selatan,Bombana,Nikel Teomokole,2.534.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Teomokole,Sulawesi Tenggara,Operasi Produksi,600000,6930,"Laterit, 2 blok","PT Almharig, Laporan RKAB Tahun 2020",1556,121.8581,-5.2946,IUP,Kecamatan Kabaena dan Kabaena Selatan,2018,"September 7, 2032","Desember 15, 2021",7878.149,177.704,46562.03,1346749,3949,4029,102.03,22,35,94.67,89.53,30.5,20120,394269,93009,45306,453369,985953,OPEX,1.64,0.01,2,Tidak,340266768,15757,PT IWIP,FOB Motorship
Wundulako,Kolaka Timur,Nikel Maniang,302.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Maniang,Sulawesi Tenggara,Eksplorasi Rinci,0,0,-,"PT Antam Tbk, Annual Report 2006",1315,121.479,-4.203,IUP,Pulau Maniang,195,"Februari 28, 2033","Februari 28, 2023",,,,1504720,3511,3473,98.92,11,45,85.3,76.37,22.9,5869,315721,68871,48685,413671,846948,OPEX,1.44,0.28,0,Tidak,302077060,15725,PT Aneka Tambang,Spot Contract
Asera,Konawe Utara,Nikel Lalindu dan Lasolo,1.922.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Lalindu dan Lasolo,Sulawesi Tenggara,Eksplorasi,0,0,Limonit-Saprolit (wmt),"PT Antam, Annual Report Tahun 2021",1454,122.154,-3.468,IUP,"Kec. Asera dan Molawe, Kab. Konawe",16920,"April 29, 2030","April 29, 2010",,,,1910459,5112,5201,101.74,24,64,97.73,79.22,25,6947,225699,103240,46435,667508,1042882,CAPEX,1.59,0.26,1,Tidak,268767767,15706,PT IMIP,Spot Contract
Pomalaa,Kolaka,Nikel Pomalaa (Tambang Tengah) (WSPM 014),1.923.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Pomalaa (Tambang Tengah) (WSPM 014),Sulawesi Tenggara,Operasi Produksi,1780000,22525.3,Limonit-Saprolit (wmt),"PT Antam, Annual Report Tahun 2021",1455,121.613,-4.229,IUP,Kec. Pomalaa,1954,"Juni 25, 2030","Mei 18, 2020",6230.121,1375.499,4404.607,1155727,2449,2496,101.92,17,43,89.9,78.5,7.8,12299,228205,135052,62566,708074,1133897,CAPEX,0.43,0.4,0,Tidak,284013895,15803,PT Aneka Tambang,Spot Contract
Molawe,Konawe Utara,Nikel Tapunopaka,291.000.000,Nikel,Ni,Logam Besi dan Paduan Besi,Tapunopaka,Sulawesi Tenggara,Eksplorasi,17340000,210768.6,Limonit-Saprolit (wmt),"PT Antam, Laporan RKAB Tahun 2022",1307,122.253,-3.502,IUP,"Kec. Lasolo, Konawe",6213,"Januari 11, 2030","Januari 11, 2010",,,,741032,5464,5693,104.19,24,45,94.35,71.03,48.6,11105,252622,148539,67986,695685,1164832,OPEX,0.83,0.18,2,Tidak,324176246,15878,PT Vale Indonesia,Spot Contract
